article_id,act_id,article_number,heading,full_text
CONST_1950_Art21A,CONST_1950,21A,21A.,"21A.
Right to education.
Protection against arrest and detention in certain cases.
Right against Exploitation
Prohibition of traffic in human beings and forced labour.
Prohibition of employment of children in factories, etc.
Right to Freedom of Religion
Freedom of conscience and free profession, practice and 
propagation of religion.
Freedom to manage religious affairs.
Freedom as to payment of taxes for promotion of any particular 
religion.
Freedom as to attendance at religious instruction or religious 
worship in certain educational institutions.

(iii)

Cultural and Educational Rights"
CONST_1950_Art29,CONST_1950,29,29.,"29.
Protection of interests of minorities."
CONST_1950_Art30,CONST_1950,30,30.,"30.
Right of minorities to establish and administer educational 
institutions.
[31.
Compulsory acquisition of property —Omitted.]

Saving of Certain Laws"
CONST_1950_Art31A,CONST_1950,31A,31A.,"31A.
Saving of Laws providing for acquisition of estates, etc."
CONST_1950_Art31B,CONST_1950,31B,31B.,"31B. 
Validation of certain Acts and Regulations."
CONST_1950_Art31C,CONST_1950,31C,31C.,"31C.
Saving of laws giving effect to certain directive principles.
[31D. 
Saving of laws in respect of anti-national activities.—Omitted.]

Right to Constitutional Remedies
 32. 
Remedies for enforcement of rights conferred by this Part.
[32A.
Constitutional validity of State laws not to be considered in 
proceedings under article 32.—Omitted.]"
CONST_1950_Art33,CONST_1950,33,33.,"33.
Power of Parliament to modify the rights conferred by this Part 
in their application to Forces, etc.
 34. 
Restriction on rights conferred by this Part while martial law is 
in force in any area."
CONST_1950_Art35,CONST_1950,35,35.,"35.
Legislation to give effect to the provisions of this Part.
PART IV
DIRECTIVE PRINCIPLES OF STATE POLICY"
CONST_1950_Art36,CONST_1950,36,36.,"36.
Definition."
CONST_1950_Art37,CONST_1950,37,37.,"37.
Application of the principles contained in this Part."
CONST_1950_Art38,CONST_1950,38,38.,"38.
State to secure a social order for the promotion of welfare of the 
people."
CONST_1950_Art39,CONST_1950,39,39.,"39.
Certain principles of policy to be followed by the State."
CONST_1950_Art39A,CONST_1950,39A,39A.,"39A.
Equal justice and free legal aid.

(iv)"
CONST_1950_Art40,CONST_1950,40,40.,"40.
Organisation of village panchayats.
 41.
Right to work, to education and to public assistance in certain 
cases. 
Provision for just and humane conditions of work and maternity 
relief.
 43. 
Living wage, etc., for workers."
CONST_1950_Art43A,CONST_1950,43A,43A.,"43A. 
Participation of workers in management of Industries."
CONST_1950_Art43B,CONST_1950,43B,43B.,"43B. 
Promotion of co-operative societies."
CONST_1950_Art44,CONST_1950,44,44.,"44.
Uniform civil code for the citizens.
 45.
Provision for early childhood care and education to children 
below the age of six years."
CONST_1950_Art46,CONST_1950,46,46.,"46.
Promotion of educational and economic interests of Scheduled 
Castes, Scheduled Tribes and other weaker sections."
CONST_1950_Art47,CONST_1950,47,47.,"47.
Duty of the State to raise the level of nutrition and the standard 
of living and to improve public health."
CONST_1950_Art48,CONST_1950,48,48.,"48.
Organisation of agriculture and animal husbandry."
CONST_1950_Art48A,CONST_1950,48A,48A.,"48A.
Protection and improvement of environment and safeguarding of 
forests and wild life."
CONST_1950_Art49,CONST_1950,49,49.,"49.
Protection of monuments and places and objects of national 
importance."
CONST_1950_Art50,CONST_1950,50,50.,"50.
Separation of judiciary from executive."
CONST_1950_Art51,CONST_1950,51,51.,"51.
Promotion of international peace and security.
PART IVA
FUNDAMENTAL DUTIES"
CONST_1950_Art51A,CONST_1950,51A,51A.,"51A.
Fundamental duties.
PART V
THE UNION
THE EXECUTIVE
The President and Vice-President"
CONST_1950_Art52,CONST_1950,52,52.,"52. 
The President of India."
CONST_1950_Art53,CONST_1950,53,53.,"53.
Executive power of the Union."
CONST_1950_Art54,CONST_1950,54,54.,"54. 
Election of President.

(v)"
CONST_1950_Art55,CONST_1950,55,55.,"55.
Manner of election of President."
CONST_1950_Art56,CONST_1950,56,56.,"56.
Term of office of President."
CONST_1950_Art57,CONST_1950,57,57.,"57. 
Eligibility for re-election."
CONST_1950_Art58,CONST_1950,58,58.,"58. 
Qualifications for election as President."
CONST_1950_Art59,CONST_1950,59,59.,"59. 
Conditions of President’s office."
CONST_1950_Art60,CONST_1950,60,60.,"60.
Oath or affirmation by the President."
CONST_1950_Art61,CONST_1950,61,61.,"61.
Procedure for impeachment of the President."
CONST_1950_Art62,CONST_1950,62,62.,"62. 
Time of holding election to fill vacancy in the office of President 
and the term of office of person elected to fill casual vacancy."
CONST_1950_Art63,CONST_1950,63,63.,"63. 
The Vice-President of India."
CONST_1950_Art64,CONST_1950,64,64.,"64. 
The Vice-President to be ex officio Chairman of the Council of"
CONST_1950_Art65,CONST_1950,65,65.,"65. 
The Vice-President to act as President or to discharge his 
functions during casual vacancies in the office, or during the 
absence, of President."
CONST_1950_Art66,CONST_1950,66,66.,"66.
Election of Vice-President."
CONST_1950_Art67,CONST_1950,67,67.,"67.
Term of office of Vice-President."
CONST_1950_Art68,CONST_1950,68,68.,"68.
Time of holding election to fill vacancy in the office of Vice-President 
and the term of office of person elected to fill casual vacancy."
CONST_1950_Art69,CONST_1950,69,69.,"69.
Oath or affirmation by the Vice-President."
CONST_1950_Art70,CONST_1950,70,70.,"70.
Discharge of President’s functions in other contingencies."
CONST_1950_Art71,CONST_1950,71,71.,"71.
Matters relating to, or connected with, the election of a President 
or Vice-President."
CONST_1950_Art72,CONST_1950,72,72.,"72.
Power of President to grant pardons, etc., and to suspend, remit 
or commute sentences in certain cases."
CONST_1950_Art73,CONST_1950,73,73.,"73.
Extent of executive power of the Union."
CONST_1950_Art74,CONST_1950,74,74.,"74.
Council of Ministers to aid and advise President."
CONST_1950_Art75,CONST_1950,75,75.,"75. 
Other provisions as to Ministers.
The Attorney-General for India"
CONST_1950_Art76,CONST_1950,76,76.,"76.
Attorney-General for India.

(vi)"
CONST_1950_Art77,CONST_1950,77,77.,"77.
Conduct of business of the Government of India."
CONST_1950_Art78,CONST_1950,78,78.,"78.
Duties of Prime Minister as respects the furnishing of 
information to the President, etc.
PARLIAMENT"
CONST_1950_Art79,CONST_1950,79,79.,"79. 
Constitution of Parliament."
CONST_1950_Art80,CONST_1950,80,80.,"80.
Composition of the Council of States."
CONST_1950_Art81,CONST_1950,81,81.,"81.
Composition of the House of the People."
CONST_1950_Art82,CONST_1950,82,82.,"82. 
Readjustment after each census."
CONST_1950_Art83,CONST_1950,83,83.,"83. 
Duration of Houses of Parliament."
CONST_1950_Art84,CONST_1950,84,84.,"84. 
Qualification for membership of Parliament."
CONST_1950_Art85,CONST_1950,85,85.,"85.
Sessions of Parliament, prorogation and dissolution."
CONST_1950_Art86,CONST_1950,86,86.,"86.
Right of President to address and send messages to Houses."
CONST_1950_Art87,CONST_1950,87,87.,"87.
Special address by the President."
CONST_1950_Art88,CONST_1950,88,88.,"88.
Rights of Ministers and Attorney-General as respects Houses.
Officers of Parliament"
CONST_1950_Art89,CONST_1950,89,89.,"89.
The Chairman and Deputy Chairman of the Council of States."
CONST_1950_Art90,CONST_1950,90,90.,"90.
Vacation and resignation of, and removal from, the office of 
Deputy Chairman."
CONST_1950_Art91,CONST_1950,91,91.,"91.
Power of the Deputy Chairman or other person to perform the 
duties of the office of, or to act as, Chairman."
CONST_1950_Art92,CONST_1950,92,92.,"92.
The Chairman or the Deputy Chairman not to preside while a"
CONST_1950_Art93,CONST_1950,93,93.,"93.
The Speaker and Deputy Speaker of the House of the People."
CONST_1950_Art94,CONST_1950,94,94.,"94.
Vacation and resignation of, and removal from, the offices of 
Speaker and Deputy Speaker."
CONST_1950_Art95,CONST_1950,95,95.,"95.
Power of the Deputy Speaker or other person to perform the 
duties of the office of, or to act as, Speaker.

(vii)"
CONST_1950_Art96,CONST_1950,96,96.,"96.
The Speaker or the Deputy Speaker not to preside while a"
CONST_1950_Art97,CONST_1950,97,97.,"97. 
Salaries and allowances of the Chairman and Deputy Chairman 
and the Speaker and Deputy Speaker."
CONST_1950_Art98,CONST_1950,98,98.,"98. 
Secretariat of Parliament."
CONST_1950_Art99,CONST_1950,99,99.,"99.
Oath or affirmation by members."
CONST_1950_Art100,CONST_1950,100,100.,"100. 
Voting in Houses, power of Houses to act notwithstanding 
vacancies and quorum."
CONST_1950_Art101,CONST_1950,101,101.,"101. 
Vacation of seats.
102."
CONST_1950_Art103,CONST_1950,103,103.,"103. 
Decision on questions as to disqualifications of members."
CONST_1950_Art104,CONST_1950,104,104.,"104.
Penalty for sitting and voting before making oath or affirmation 
under article 99 or when not qualified or when disqualified.
Powers, Privileges and Immunities of Parliament and its 
Members"
CONST_1950_Art105,CONST_1950,105,105.,"105.
Powers, privileges, etc., of the Houses of Parliament and of the 
members and committees thereof."
CONST_1950_Art106,CONST_1950,106,106.,"106.
Salaries and allowances of members."
CONST_1950_Art107,CONST_1950,107,107.,"107.
Provisions as to introduction and passing of Bills."
CONST_1950_Art108,CONST_1950,108,108.,"108.
Joint sitting of both Houses in certain cases."
CONST_1950_Art109,CONST_1950,109,109.,"109.
Special procedure in respect of Money Bills."
CONST_1950_Art110,CONST_1950,110,110.,"110.
Definition of “Money Bills”."
CONST_1950_Art111,CONST_1950,111,111.,"111.
Assent to Bills."
CONST_1950_Art112,CONST_1950,112,112.,"112.
Annual financial statement."
CONST_1950_Art113,CONST_1950,113,113.,"113.
Procedure in Parliament with respect to estimates."
CONST_1950_Art114,CONST_1950,114,114.,"114.
Appropriation Bills.

(viii)"
CONST_1950_Art115,CONST_1950,115,115.,"115.
Supplementary, additional or excess grants."
CONST_1950_Art116,CONST_1950,116,116.,"116.
Votes on account, votes of credit and exceptional grants."
CONST_1950_Art117,CONST_1950,117,117.,"117.
Special provisions as to financial Bills."
CONST_1950_Art118,CONST_1950,118,118.,"118.
Rules of procedure."
CONST_1950_Art119,CONST_1950,119,119.,"119.
Regulation by law of procedure in Parliament in relation to 
financial business."
CONST_1950_Art120,CONST_1950,120,120.,"120.
Language to be used in Parliament."
CONST_1950_Art121,CONST_1950,121,121.,"121.
Restriction on discussion in Parliament."
CONST_1950_Art122,CONST_1950,122,122.,"122.
Courts not to inquire into proceedings of Parliament.
LEGISLATIVE POWERS OF THE 
PRESIDENT"
CONST_1950_Art123,CONST_1950,123,123.,"123.
Power of President to promulgate Ordinances during recess of 
Parliament.
THE UNION JUDICIARY"
CONST_1950_Art124,CONST_1950,124,124.,"124.
Establishment and constitution of the Supreme Court."
CONST_1950_Art124A,CONST_1950,124A,124A.,"124A.
National Judicial Appointments Commission."
CONST_1950_Art124B,CONST_1950,124B,124B.,"124B.
Functions of Commission."
CONST_1950_Art124C,CONST_1950,124C,124C.,"124C.
Power of Parliament to make law."
CONST_1950_Art125,CONST_1950,125,125.,"125.
Salaries, etc., of Judges."
CONST_1950_Art126,CONST_1950,126,126.,"126.
Appointment of acting Chief Justice."
CONST_1950_Art127,CONST_1950,127,127.,"127.
Appointment of ad hoc Judges."
CONST_1950_Art128,CONST_1950,128,128.,"128.
Attendance of retired Judges at sittings of the Supreme Court."
CONST_1950_Art129,CONST_1950,129,129.,"129.
Supreme Court to be a court of record."
CONST_1950_Art130,CONST_1950,130,130.,"130.
Seat of Supreme Court."
CONST_1950_Art131,CONST_1950,131,131.,"131.
Original jurisdiction of the Supreme Court.
[131A.
Exclusive jurisdiction of the Supreme Court in regard to questions 
as to constitutional validity of Central laws."
CONST_1950_Art132,CONST_1950,132,132.,"132.
Appellate jurisdiction of the Supreme Court in appeals from 
High Courts in certain cases."
CONST_1950_Art133,CONST_1950,133,133.,"133.
Appellate jurisdiction of the Supreme Court in appeals from 
High Courts in regard to civil matters."
CONST_1950_Art134,CONST_1950,134,134.,"134.
Appellate jurisdiction of the Supreme Court in regard to criminal 
matters.

(ix)"
CONST_1950_Art134A,CONST_1950,134A,134A.,"134A.
Certificate for appeal to the Supreme Court.
 135. 
Jurisdiction and powers of the Federal Court under existing law 
to be exercisable by the Supreme Court."
CONST_1950_Art136,CONST_1950,136,136.,"136.
Special leave to appeal by the Supreme Court.
 137. 
Review of judgments or orders by the Supreme Court."
CONST_1950_Art138,CONST_1950,138,138.,"138.
Enlargement of the jurisdiction of the Supreme Court."
CONST_1950_Art139,CONST_1950,139,139.,"139.
Conferment on the Supreme Court of powers to issue certain 
writs."
CONST_1950_Art139A,CONST_1950,139A,139A.,"139A.
Transfer of certain cases."
CONST_1950_Art140,CONST_1950,140,140.,"140.
Ancillary powers of the Supreme Court.
 141. 
Law declared by Supreme Court to be binding on all courts."
CONST_1950_Art142,CONST_1950,142,142.,"142.
Enforcement of decrees and orders of the Supreme Court and 
orders as to discovery, etc. 
 143. 
Power of the President to consult the Supreme Court."
