case_id,article_id,context
sc_2016_A_Ayyasamy_vs_A_Paramasivam_Ors_on_4_October_2016_1,CONST_1950_Art8,ms of the agreement entered into between them to refer disputes to arbitration. Article 8 of the UNCITRAL Model Law enabled a court to decline to refer parties to arbitr
sc_2016_Ahmedabad_Municipal_Corporation_vs_Gtl_Infra_Ltd_Ors_Etc_on_16_December_2016_1,CONST_1950_Art3,"der of the High Court whereas the Cellular operators have challenged the later part. 3. The Bombay High Court which was in seisin of a somewhat similar challenge, by "
sc_2016_Ahmedabad_Municipal_Corporation_vs_Gtl_Infra_Ltd_Ors_Etc_on_16_December_2016_1,CONST_1950_Art32, and the writ petitions filed before this Court by the cellular operators under Article 32 of the Constitution raising a similar challenge as in the writ petitions filed 
sc_2016_Ahmedabad_Municipal_Corporation_vs_Gtl_Infra_Ltd_Ors_Etc_on_16_December_2016_1,CONST_1950_Art265,the Union. Part XII of the Constitution relates to Finances. At the very outset Article 265 lays down that “No tax shall be levied or collected except by authority of law.
sc_2016_Ahmedabad_Municipal_Corporation_vs_Gtl_Infra_Ltd_Ors_Etc_on_16_December_2016_1,CONST_1950_Art246,tive relations and distribution of legislative powers with special reference to Article 246.” 18. Article 246 is in the following terms: (1) Notwithstanding anything in cl
sc_2016_Ahmedabad_Municipal_Corporation_vs_Gtl_Infra_Ltd_Ors_Etc_on_16_December_2016_1,CONST_1950_Art254,y repugnancy in law making by the Union and State Legislatures is dealt with by Article 254 which gives primacy to the Parliamentary law over the State law subject to the 
sc_2016_Air_Customs_Officer_Igi_New_Delhi_vs_Pramod_Kumar_Dhamija_on_15_February_2016_1,CONST_1950_Art20, prosecution from which these criminal revision petitions arose is barred under Article 20(2) of the Constitution as against accused 1 and 2 in that case by reason of the
sc_2016_Ajay_Arjun_Singh_vs_Sharadendu_Tiwari_And_Ors_on_15_March_2016_1,CONST_1950_Art225,"ct, 1951. Non-compliance, if any, with the Rules of the High Court framed under Article 225 does not render the order one without jurisdiction; iii) that, I.A. No.11665 of"
sc_2016_Alagaapuram_R_Mohanraj_And_Ors_vs_Tamil_Nadu_Legislative_Assembly_Rep_By_on_12_February_2016_1,CONST_1950_Art20," the rules and standing orders regulating the procedure of the legislative bodies. 20. Therefore, we are of the opinion that though there is a curtailment of the pet"
sc_2016_Alagaapuram_R_Mohanraj_And_Ors_vs_Tamil_Nadu_Legislative_Assembly_Rep_By_on_12_February_2016_1,CONST_1950_Art32,"M E N T Chelameswar, J. 1. This is a petition filed by six petitioners invoking Article 32 of the Constitution of India. They are members of the Tamil Nadu Legislative As"
sc_2016_Alagaapuram_R_Mohanraj_And_Ors_vs_Tamil_Nadu_Legislative_Assembly_Rep_By_on_12_February_2016_1,CONST_1950_Art208,ndent herein under Rule 226 of the Tamil Nadu Legislative Assembly framed under Article 208 of Constitution of India to the subsequent proceedings carried out by the privi
