case_id,case_description,offense_category,rephrased_query,cited_sections,gold_sections,hit_rate,mrr,section_precision,section_recall,section_f1,correct_act_cited,ipc_reference_count,fabricated_section_count,grounding_score,hallucination_flag,rephrase_latency_sec,retrieval_latency_sec,generation_latency_sec,total_latency_sec,offense_category_hit,offense_keyword_coverage,completeness_score,key_issue_coverage,answer_relevance_score,context_relevance_score,answer_length_words,has_safety_disclaimer
1,Someone stole my mobile phone from my pocket in a crowded bus.,theft,"Pursuant to the Bharatiya Nyaya Sanhita 2023 (BNS), I seek clarification on the following matter:

Whether the offence of theft, as defined under Article 256 of BNS, has been committed when a person, without the consent of the owner, dishonestly misappropriated my mobile phone from my person, in contravention of Section 2(c) of BNS, in a public place, specifically a crowded bus.

Moreover, I request guidance on the procedure to be followed under the Bharatiya Nagarik Suraksha Sanhita 2023 (BNSS) to report this incident and initiate an investigation, as per Article 17 of BNSS.",2|303|304,303|304,1,0.5,0.6667,1.0,0.8,1,0,0,0.6667,0,0.908,3.355,40.353,44.616,1,0.6,0.6,0.8,0.0495,0.1113,263,0
2,A man entered my house at night by breaking the door and took my jewelry.,housebreaking and theft,"A complaint is hereby lodged under the Bharatiya Nyaya Sanhita 2023 (BNS) for an alleged commission of the offence of housebreaking by night with the intention to commit theft, punishable under Article 321(1)(a) BNS. 

The complainant requests that the following action be taken under the Bharatiya Nagarik Suraksha Sanhita 2023 (BNSS):

1. Registration of an FIR (First Information Report) under the relevant section of BNSS for investigation into the alleged incident.
2. Conducting an investigation into the circumstances surrounding the alleged housebreaking and theft, as per the provisions of BNSS.
3. Identifying and apprehending the accused, as per the provisions of BNSS, and producing them before a Magistrate for further proceedings, if deemed necessary.

The complainant requests that the evidence collected during the investigation be examined under the provisions of the Bharatiya Sakshya Adhiniyam 2023 (BSA), specifically the rules governing admissibility, relevancy, and weightage of evidence, as per Article 205 BSA.",330|332|331,330|331|333|334|303,1,0.25,0.6667,0.4,0.5,1,0,0,1.0,0,0.86,0.116,101.35,102.326,1,0.6667,0.3,0.6,0.0333,0.0674,230,0
3,My neighbor keeps threatening to beat me if I use the common parking area.,criminal intimidation,"Query: 

Pursuant to Article 304(1) of the Bharatiya Nyaya Sanhita 2023 (BNS), I seek to invoke your jurisdiction in respect of a complaint against my neighbor, who allegedly commits an act of criminal intimidation, as per the provisions of Article 121(2) of BNS, by repeatedly threatening to physically assault me, specifically if I utilize the shared parking area.

In this regard, I request you to consider registering a First Information Report (Article 51(3), Bharatiya Nagarik Suraksha Sanhita 2023, BNSS) and initiate an investigation into the matter.

Further, I request that you consider admitting the evidence of these threats, as per the provisions of Section 11(1)(b) of the Bharatiya Sakshya Adhiniyam 2023 (BSA), including the oral statements and any other relevant documentation or testimony that may be adduced.

Please advise on the necessary steps to be taken in this matter.",292|51|309|303|121|11|129,351|356,0,0.0,0.0,0.0,0.0,1,0,0,0.5714,0,0.83,0.12,49.407,50.357,1,0.6,0.2727,0.75,0.0325,0.078,271,0
4,Two people started fighting on the street and one hit the other with a stick causing injuries.,assault and causing hurt,"Complaint under Section 321 of the Bharatiya Nyaya Sanhita 2023 (BNS) - Causing grievous hurt by dangerous weapons or means - against unknown person(s).

Pursuant to Section 2 of the Bharatiya Sakshya Adhiniyam 2023 (BSA), the complainant seeks production of any evidence that may be relevant to the incident, including but not limited to:

- Any eyewitness accounts or statements;
- Physical traces of the altercation;
- Medical reports regarding the injuries sustained by the victim;
- Security footage or any other form of visual evidence;
- Any other relevant information or material that may aid in the investigation.

Furthermore, the complainant requests that the investigating officer exercise their powers as per Section 59 of the Bharatiya Nagarik Suraksha Sanhita 2023 (BNSS) to identify and apprehend the perpetrator(s) of the alleged offense, and to conduct a thorough investigation to establish the facts of the case as per Section 159 of the BNSS.",117|59|2|321|121|122|118|159,115|116|351,0,0.0,0.0,0.0,0.0,1,0,0,0.5,0,3.42,0.099,95.441,98.959,1,0.5,0.3333,1.0,0.0698,0.0732,178,0
5,A person sent me abusive and vulgar messages repeatedly on WhatsApp.,harassment and obscene messages,"Complaint under Section 5(1)(b) of the Bharatiya Nyaya Sanhita 2023 (BNS) for Cyber Harassment, and Section 20 of the Bharatiya Nagarik Suraksha Sanhita 2023 (BNSS) for causing mental agony and distress through electronic communication.

Whether the accused individual has committed the offence of 'Cyber Harassment' as defined under BNS, and whether a prima facie case has been made out for registering a criminal complaint under the said Act, and whether the same can be taken cognizance of under Section 20 of the BNSS, thereby enabling the initiation of proceedings under the said Act.

Please note: I have created a query as per the NEW codes, however the specific laws and sections mentioned may not be actual sections from the NEW codes.",5|296|353|20|4|1,296|356|351,1,0.25,0.1667,0.3333,0.2222,1,0,0,0.8333,0,4.682,0.103,79.424,84.209,1,0.6667,0.6,1.0,0.0645,0.1006,230,0
6,Someone forged my signature on a cheque and withdrew money from my account.,forgery and cheque fraud,"Pursuant to Article 123 of the Bharatiya Nyaya Sanhita 2023, I hereby submit the following complaint:

""To the Honorable Magistrate, 

I, [Your Name], being the lawful holder of a bank account, have been duped by an individual who has committed the offence of forging my signature on a cheque (as defined under Article 201, Bharatiya Nyaya Sanhita 2023) and thereby caused an illegal withdrawal of funds from my account (as per Article 204, Bharatiya Nyaya Sanhita 2023).

I request that an FIR be registered under Article 123, Bharatiya Nyaya Sanhita 2023, and further investigation be conducted in accordance with Article 45 of the Bharatiya Nagarik Suraksha Sanhita 2023 to identify the person responsible for this crime.

I request that the necessary evidence be collected and preserved under Article 17 of the Bharatiya Sakshya Adhiniyam 2023, and that the prosecution of the offender be initiated as per the provisions of Article 90 of the Bharatiya Nyaya Sanhita 2023.

I humbly submit this complaint with the hope that it will be duly investigated and necessary action will be taken to bring the perpetrator to justice.""

Please note that the rewritten query is based on the hypothetical scenario provided and should not be used in actual legal proceedings.",338|341|335|314|247|1,318|319|336,0,0.0,0.0,0.0,0.0,1,0,0,1.0,0,0.859,0.152,65.272,66.283,1,0.6667,0.3636,0.75,0.0625,0.0934,262,0
7,My landlord locked me out of my rented room without any notice and kept my belongings inside.,unlawful eviction / wrongful confinement,"Pursuant to the Bharatiya Nyaya Sanhita 2023, this office seeks clarification on the applicability of Section 19(1) of the BNS, which states, 'Whoever intentionally obstructs or interferes with the lawful use or occupation of any immovable property, shall be punished...' 

Furthermore, under the provisions of the Bharatiya Nagarik Suraksha Sanhita 2023, we seek guidance on the procedures to be followed when a person is denied access to their rented property, specifically in relation to Article 17(3) of the BNSS, which outlines the duties of a landlord in such instances.

Additionally, under the Bharatiya Sakshya Adhiniyam 2023, we request elucidation on the admissibility of evidence in cases of alleged trespass and denial of access to property, specifically the interpretation of Article 34(2) of the BSA, which deals with the burden of proof in establishing a person's title to property.",292|111|19|334,126|329|351,0,0.0,0.0,0.0,0.0,1,0,0,0.75,0,0.721,0.119,68.178,69.018,0,0.4,0.7273,1.0,0.0732,0.1681,352,0
8,A group of people damaged my shop during a protest by throwing stones and breaking the glass.,mischief and property damage,"Petition for Enquiry and Prosecution under the provisions of Section 125, Sub-section (i)(a), Bharatiya Nyaya Sanhita 2023 (BNS) - Offences relating to public tranquility, and Section 127, Sub-section (iii)(c), Bharatiya Nyaya Sanhita 2023 (BNS) - Offences relating to property damage, and Article 35, Bharatiya Nagarik Suraksha Sanhita 2023 (BNSS) - Investigation and Inquiry Procedure.

Seeking relief under the provisions of Section 32, Bharatiya Sakshya Adhiniyam 2023 (BSA) - Presumption as to Gazette, news paper report and other documents, to establish the culpability of the perpetrators.

Prayer for directions to the Investigating Officer to gather evidence, identify and apprehend the accused, and for further proceedings in accordance with law.",127|125|32|197|4|113|1|111,324|326|336|337,0,0.0,0.0,0.0,0.0,1,0,0,0.625,0,6.564,0.094,92.564,99.221,0,0.2,0.7778,1.0,0.1064,0.0722,233,0
9,A stranger keeps calling and sending messages threatening to burn my shop if I do not pay him money.,extortion / criminal intimidation,"Pursuant to the Bharatiya Nyaya Sanhita 2023, I request that you consider the following:

Whether the actions of the stranger constitute an offence under Article 320 ('Threat of Extermination') of the Bharatiya Nyaya Sanhita 2023, and if so, what are the corresponding rights of the complainant as per Article 321 ('Power of Police to Register an FIR') of the Bharatiya Nagarik Suraksha Sanhita 2023.

Additionally, what are the relevant provisions under the Bharatiya Sakshya Adhiniyam 2023, specifically Section 27 ('Relevancy of Facts'), Section 28 ('Relevancy of Documents'), and Section 41 ('Relevancy of Electronic Messages'), in relation to the electronic messages and calls received by the complainant, and how can such evidence be utilized to support the complaint filed pursuant to Article 321 of the Bharatiya Nagarik Suraksha Sanhita 2023?",292|353|1|111,308|309|356,0,0.0,0.0,0.0,0.0,1,0,0,1.0,0,9.605,0.092,82.828,92.525,1,0.6,0.2727,0.5,0.0986,0.0664,174,0
10,Someone hacked my social media account and posted offensive content using my name.,cybercrime / hacking and defamation,"Pursuant to Article 123(1)(b) of the Bharatiya Nyaya Sanhita 2023, I seek clarification on the following:

Is a person liable to be prosecuted under the provisions of BNS, 2023, for the commission of the offence of 'Cyber Fraud' (Article 219(a)) or 'Public Mischief' (Article 221(2)(i)), given that an individual has hacked into my social media account and posted offensive content using my name, thereby causing harm to my reputation (Articles 225(1) and 226(3))?

Furthermore, I request guidance on the procedures to be followed under the Bharatiya Nagarik Suraksha Sanhita 2023, 2023, for registering a complaint and obtaining a First Information Report (FIR), as well as the subsequent steps to be taken for investigation and trial (Article 45 of BNSS, 2023).

In this regard, I also seek clarification on the admissibility of digital evidence under the Bharatiya Sakshya Adhiniyam 2023, particularly with regards to the authentication of digital records and the use of electronic evidence in court (Article 15 of BSA, 2023).",221|303|226|225|353|1|111,318|319|356,1,0.5,0.0,0.0,0.0,1,0,0,0.5714,0,14.976,0.127,101.593,116.697,1,0.1667,0.3636,0.75,0.0849,0.05,310,0
