system_name,case_id,case_description,offense_category,rephrased_query,cited_sections,gold_sections,section_precision,section_recall,section_f1,correct_act_cited,ipc_reference_count,fabricated_section_count,grounding_score,hallucination_flag,rephrase_latency_sec,retrieval_latency_sec,generation_latency_sec,total_latency_sec,offense_category_hit,offense_keyword_coverage,completeness_score,key_issue_coverage,answer_relevance_score,context_relevance_score,answer_length_words,has_safety_disclaimer
System3_FullPipelineBNS,1,Someone stole my mobile phone from my pocket in a crowded bus.,theft,"Complainant seeks guidance on reporting and investigating a case of alleged theft of their personal property (mobile phone) under the Bharatiya Nyaya Sanhita 2023. The incident reportedly occurred when an unknown individual removed the mobile phone from the complainant's pocket while the complainant was traveling in a public conveyance, namely a bus, which was overcrowded at the time.

Query: Can the police be notified and what procedures should be followed to initiate an investigation under Article 13 of the Bharatiya Nyaya Sanhita 2023? Should a First Information Report (FIR) be filed and if so, what information would be required in the FIR? How can the complainant proceed with the investigation and potential prosecution under the Bharatiya Nagarik Suraksha Sanhita 2023?

Please note that this is a rewritten query based on the NEW laws (BNS/BNSS/BSA) and not an actual legal advice.",,303|304,0.0,0.0,0.0,1,0,0,1.0,0,40.554,5.262,219.217,265.033,1,0.4,0.1,0.4,0.037,0.0587,220,0
System3_FullPipelineBNS,2,A man entered my house at night by breaking the door and took my jewelry.,housebreaking and theft,"Complaint under BNS Section 144: ""An unknown person forcibly entered my residence on a nocturnal occasion by violating the sanctity of my dwelling, thereby breaching the peace and tranquility of my home, and thereafter, purloined my personal property, specifically jewelry. I request an investigation into this alleged criminal conduct and seek punitive action against the perpetrator.""

(Note: BNS Section 144 deals with ""Culpable Breach of Public Peace"" and ""Mischief"", which could be relevant in this scenario.)",330|331,330|331|333|334|303,1.0,0.4,0.5714,1,0,0,1.0,0,24.86,0.095,315.81,340.765,1,0.3333,0.2,0.4,0.0943,0.0395,108,0
System3_FullPipelineBNS,3,My neighbor keeps threatening to beat me if I use the common parking area.,criminal intimidation,"Can you please assist in drafting a formal complaint regarding an alleged intimidation attempt by my neighbor, which is causing me undue fear and alarm. The issue pertains to their repeated threats to inflict physical harm upon me should I utilize the shared parking space. Specifically, can I seek protection under Article [insert relevant article number from BNS] for the offense of criminal intimidation? Further guidance on whether this behavior constitutes an actionable offense under BNSS would be greatly appreciated. Additionally, please advise on the admissibility of any potential eyewitness testimony and/or circumstantial evidence that may support my complaint under the provisions of BSA.",129|351,351|356,0.5,0.5,0.5,1,0,0,1.0,0,28.121,0.063,224.199,252.383,1,0.8,0.5455,1.0,0.0654,0.0711,234,0
System3_FullPipelineBNS,4,Two people started fighting on the street and one hit the other with a stick causing injuries.,assault and causing hurt,"What is the appropriate legal action under the Bharatiya Nyaya Sanhita 2023 (BNS) for the situation where two individuals engaged in a physical altercation, resulting in one individual inflicting bodily harm on the other using a stick, thereby causing injuries? 

(Note: Please let me know if you would like me to rephrase anything!)",292|115,115|116|351,0.5,0.3333,0.4,1,0,0,1.0,0,19.726,0.079,307.659,327.464,1,0.5,0.4167,1.0,0.1029,0.064,154,0
System3_FullPipelineBNS,5,A person sent me abusive and vulgar messages repeatedly on WhatsApp.,harassment and obscene messages,"Can I file a complaint under Bharatiya Nyaya Sanhita 2023 (BNS) against the individual for committing an act of ""Mental Harassment"" as defined in BNS, Article 123(1), and punishable under BNS, Section 144? Specifically, I wish to know if repeated sending of abusive and vulgar messages on WhatsApp constitutes a cognizable offense under BNS, and if so, what are the necessary steps to initiate legal proceedings against the accused.",78|353|356|232,296|356|351,0.25,0.3333,0.2857,1,0,0,1.0,0,24.574,0.047,320.331,344.969,0,0.3333,0.4,0.5,0.1463,0.0384,81,0
System3_FullPipelineBNS,6,Someone forged my signature on a cheque and withdrew money from my account.,forgery and cheque fraud,"Query:

Pursuant to Bharatiya Nyaya Sanhita 2023 (BNS), I seek assistance in investigating and prosecuting the perpetrator of a crime allegedly committed by forging my signature on a cheque, thereby causing the withdrawal of funds from my account. The suspect's actions appear to have resulted in financial loss and moral harm to me.

Specifically, I request that the relevant authorities be directed to:

* Investigate the circumstances surrounding the alleged forgery and fraudulent withdrawal;
* Gather evidence and identify the perpetrator;
* Initiate legal proceedings under BNS Article XYZ (insert article number) for the offence of cheque fraud; and
* Take necessary steps to recover the misappropriated funds and provide compensation for the losses suffered by me.

I request that the authorities exercise their powers under Bharatiya Nagarik Suraksha Sanhita 2023 (BNSS) to conduct a thorough investigation, ensure the collection of evidence, and bring the perpetrator to justice.",303|309|314,318|319|336,0.0,0.0,0.0,1,0,0,1.0,0,41.154,0.094,247.007,288.271,1,0.5,0.5455,0.75,0.0417,0.0586,178,1
System3_FullPipelineBNS,7,My landlord locked me out of my rented room without any notice and kept my belongings inside.,unlawful eviction / wrongful confinement,"Pursuant to the Bharatiya Nyaya Sanhita 2023 (BNS), I request an inquiry into whether the alleged actions of my landlord constitute a violation of Article 123(2) of BNS, specifically with respect to the rights of a tenant to peaceful enjoyment of their premises. Furthermore, I seek clarification on the legality of the landlord's conduct in locking me out without prior notice and retaining possession of my personal effects within the room, as potentially infringing upon my fundamental right to privacy under Article 121(1) of BNS.

Additionally, I request an investigation into whether any remedies are available to me under the Bharatiya Nagarik Suraksha Sanhita 2023 (BNSS), particularly in relation to the procedures governing summary eviction and repossession of property as outlined in Chapter III of BNSS.",292|111|84|209,126|329|351,0.0,0.0,0.0,1,0,0,1.0,0,36.142,0.063,320.941,357.146,0,0.8,0.7273,1.0,0.0769,0.0877,237,1
System3_FullPipelineBNS,8,A group of people damaged my shop during a protest by throwing stones and breaking the glass.,mischief and property damage,"Here is the rewritten formal legal query using the NEW codes:

""Can I file a complaint against the perpetrators for alleged violation of Bharatiya Nyaya Sanhita 2023 (BNS) Article X, Section Y, pertaining to intentional destruction of property and/or causing grievous hurt by means of stone or other instrument? Specifically, did they cause willful damage to my shop by throwing stones and breaking glass during a protest, thereby committing an act that may attract punishment under BNS?""

Please note that I have not provided any legal analysis or advice. This is purely a rewritten formal legal query using the NEW codes (BNS/BNSS/BSA).",1|356|334|113,324|326|336|337,0.0,0.0,0.0,1,0,0,1.0,0,29.875,0.105,225.061,255.041,0,0.2,0.6667,1.0,0.122,0.0712,188,1
System3_FullPipelineBNS,9,A stranger keeps calling and sending messages threatening to burn my shop if I do not pay him money.,extortion / criminal intimidation,"Pursuant to Article 2 of the Bharatiya Nyaya Sanhita 2023, I seek a restraining order against an unknown individual who is perpetrating harassment (as defined under BNS) by:

1. Repeatedly making false and intimidatory telephone calls to me;
2. Sending threatening messages to my mobile device or other electronic means;

with the intent to extort money from me (as per Article 3 of the Bharatiya Nyaya Sanhita 2023), specifically threatening to cause damage to my property (shop) if I do not comply with their demands.

I request that the authority take immediate action to prevent any further harassment and ensure my safety, as well as investigate the identity of the perpetrator under Article 4 of the Bharatiya Sakshya Adhiniyam 2023.",351|195|232,308|309|356,0.0,0.0,0.0,1,0,0,1.0,0,35.816,0.079,339.73,375.624,1,0.8,0.3636,0.75,0.051,0.1005,202,0
System3_FullPipelineBNS,10,Someone hacked my social media account and posted offensive content using my name.,cybercrime / hacking and defamation,"Can you please provide me with more details regarding this incident?

Assuming the user wants to report a cybercrime, here's a rewritten formal legal query:

""Is there a breach of Section 5(1) of Bharatiya Nyaya Sanhita 2023 (BNS) when an individual hacks into another person's social media account and uses their identity to disseminate offensive content? Further, are the actions of the hacker violative of Article 21 of BNS, which pertains to the right to reputation? If so, what provisions in Bharatiya Nagarik Suraksha Sanhita 2023 (BNSS) govern the investigation and prosecution of this crime?""",78|1|356|111,318|319|356,0.25,0.3333,0.2857,1,0,0,1.0,0,30.328,0.074,492.041,522.442,1,0.5,0.3636,0.5,0.0672,0.0984,277,0
