case_id,case_description,offense_category,rephrased_query,cited_sections,gold_sections,hit_rate,mrr,section_precision,section_recall,section_f1,correct_act_cited,ipc_reference_count,fabricated_section_count,grounding_score,hallucination_flag,rephrase_latency_sec,retrieval_latency_sec,generation_latency_sec,total_latency_sec,offense_category_hit,offense_keyword_coverage,completeness_score,key_issue_coverage,answer_relevance_score,context_relevance_score,answer_length_words,has_safety_disclaimer
1,Someone stole my mobile phone from my pocket in a crowded bus.,theft,"Pursuant to Article 34 of Bharatiya Nyaya Sanhita 2023, I seek to institute a complaint against the perpetrator(s) for the alleged commission of the offence of 'dishonestly misappropriating property' under Article 265 of Bharatiya Nyaya Sanhita 2023, specifically Article 265(1)(b) read with Article 265(2).

Under Article 23 of Bharatiya Nagarik Suraksha Sanhita 2023, I request the registering of a First Information Report (FIR) and an investigation be initiated under Article 26(1) of the same Act.

Pursuant to Article 13 of Bharatiya Sakshya Adhiniyam 2023, I seek to adduce evidence of the occurrence, including the fact that the mobile phone was in my possession prior to its alleged theft and that it was stolen during the commotion in the crowded bus.",314,303|304,1,0.5,0.0,0.0,0.0,1,0,0,1.0,0,0.673,5.535,3.144,9.352,1,0.6,0.2,0.4,0.0723,0.0549,193,0
2,A man entered my house at night by breaking the door and took my jewelry.,housebreaking and theft,"Petition for Investigation and Prosecution Pursuant to Article 123(2) of the Bharatiya Nyaya Sanhita 2023 (BNS) and Article 17(1) of the Bharatiya Nagarik Suraksha Sanhita 2023 (BNSS).

To the Hon'ble Magistrate,

It is respectfully submitted that on the night of [date], the respondent trespassed into the house of the petitioner at [address] by means of force (Article 17(1) of BNSS), wherein he committed the offence of misappropriation of the petitioner's personal property, specifically jewelry, in contravention of Article 201(1) of the BNS.

The petitioner humbly requests that an investigation be conducted under Article 123(2) of the BNS to identify the respondent and secure evidence of the said offence, and that the respondent be prosecuted in accordance with Article 17(1) of the BNSS and Article 201(1) of the BNS.

Supporting documents and evidence are attached hereto.

Please accept this petition as a formal complaint.

Respectfully submitted,
[Petitioner's Name]",209|4|199|201,330|331|333|334|303,1,0.5,0.0,0.0,0.0,1,0,0,0.75,0,13.509,4.368,19.172,37.049,1,0.1667,0.2,0.4,0.0341,0.0533,226,0
3,My neighbor keeps threatening to beat me if I use the common parking area.,criminal intimidation,"Pursuant to Article 228(1) of the Bharatiya Nyaya Sanhita 2023 (BNS) and Section 3 of the Bharatiya Nagarik Suraksha Sanhita 2023 (BNSS), I seek to know whether my neighbor's statements, threatening to cause bodily harm to me if I use the common parking area, constitute an offence under the BNS and if so, what are the applicable provisions and remedies available to me.",353|292,351|356,0,0.0,0.0,0.0,0.0,1,0,0,1.0,0,0.534,4.216,6.502,11.252,1,0.6,0.5455,0.75,0.0706,0.0682,208,1
4,Two people started fighting on the street and one hit the other with a stick causing injuries.,assault and causing hurt,"**Incident Report and Legal Query**

**Case Description:** On [date], two individuals engaged in a physical altercation on a public street, resulting in one party inflicting grievous bodily harm upon the other using a stick.

**Legal Query:**

Pursuant to Article 304 of the Bharatiya Nyaya Sanhita 2023 (BNS), whether the actions of the accused constitute an offense under Chapter 10, Section 3, 'Causing Death or Grievous Hurt by a Hazardous Substance or an Instrument' or Chapter 16, Section 6, 'Voluntarily Causing Hurt' of the BNS? 

Further, under the provisions of Article 215 of the Bharatiya Nagarik Suraksha Sanhita 2023 (BNSS), what is the appropriate course of action for the investigating officer to take in securing the scene, collecting evidence, and recording statements from witnesses?

Additionally, in light of Article 123 of the Bharatiya Sakshya Adhiniyam 2023 (BSA), how do the circumstances of the incident affect the admissibility of the physical evidence collected, particularly the stick used to inflict harm, and any other relevant documentation or testimony?",118|6|3|25|37|122,115|116|351,0,0.0,0.0,0.0,0.0,1,0,0,0.6667,0,4.611,4.658,19.276,28.545,1,0.5,0.5833,1.0,0.042,0.1229,279,0
5,A person sent me abusive and vulgar messages repeatedly on WhatsApp.,harassment and obscene messages,"Pursuant to Article 5, Section 2 of the Bharatiya Nyaya Sanhita 2023 (BNS), I submit the following formal legal query:

What constitutes a case of harassment under the provisions of BNS, specifically Article 15, Section 4, in relation to an individual sending repetitive abusive and vulgar messages on a digital platform, such as WhatsApp, and what penalties or remedies are available to the aggrieved party under BNSS, specifically Article 27, Section 6, for the commission of such offense?",4|78|353|6|299,296|356|351,1,0.125,0.0,0.0,0.0,1,0,0,0.8,0,0.382,10.44,30.713,41.535,1,0.5,0.4,0.75,0.0667,0.0582,142,0
6,Someone forged my signature on a cheque and withdrew money from my account.,forgery and cheque fraud,"Pursuant to Section 420 of Bharatiya Nyaya Sanhita 2023 (BNS), which deals with Cheating and Breach of Trust, I seek clarification on whether an offence under BNS has been committed by an individual who forged the signature on a cheque issued by me, thereby facilitating the withdrawal of funds from my account, thereby causing me financial loss.

Furthermore, under Bharatiya Nagarik Suraksha Sanhita 2023 (BNSS) and Article 110, I request guidance on the necessary procedures and protocols to be followed to lodge a complaint, investigate the case, and ensure the apprehension and prosecution of the perpetrator, as well as compensation for the damages suffered by me.

Additionally, under Bharatiya Sakshya Adhiniyam 2023 (BSA), I seek to understand the admissibility and relevance of the forged cheque as evidence in the trial, specifically under Article 32, which deals with the Proof of Signature.

Lastly, I request an assessment of the liability of any financial institution or bank involved in the transaction, under the provisions of BNS and BNSS.",1|335|339|209|314,318|319|336,0,0.0,0.0,0.0,0.0,1,0,0,1.0,0,9.667,4.225,19.207,33.099,1,0.6667,0.3636,0.75,0.05,0.0625,218,1
7,My landlord locked me out of my rented room without any notice and kept my belongings inside.,unlawful eviction / wrongful confinement,"Query:

Pursuant to Article 34, Clause 2 of the Bharatiya Nyaya Sanhita 2023 (BNS), has the landlord committed the offence of wrongful confinement or illegal detention under Article 42, Section 1 of BNS, by locking out the tenant from the rented premises without lawful notice, thereby rendering the tenant unable to access their personal belongings as mentioned under Article 19, Section 5 of BNS? 

Additionally, under the provisions of Bharatiya Nagarik Suraksha Sanhita 2023 (BNSS), what procedures can be initiated under Chapter 3, Article 7, to secure the release of the tenant's belongings and ensure the landlord's compliance with the relevant laws?",127|211|200,126|329|351,0,0.0,0.0,0.0,0.0,1,0,0,1.0,0,4.45,4.219,11.733,20.403,1,0.6,0.7273,1.0,0.0796,0.097,251,0
8,A group of people damaged my shop during a protest by throwing stones and breaking the glass.,mischief and property damage,"Pursuant to Article 43 of the Bharatiya Nyaya Sanhita 2023 (BNS), I submit the following formal complaint for consideration:

Whether the alleged perpetrators of the incident, involving intentional damage to property (specifically, a commercial establishment), by means of hurling projectiles (stones) and causing intentional destruction of glass panes, have committed the offence of ""Mischief"" under Section 43(1) of the BNS? 

Additionally, I request an investigation into the circumstances surrounding this incident, as mandated by Section 23 of the Bharatiya Nagarik Suraksha Sanhita 2023 (BNSS), with a view to determining whether the perpetrators were acting in contravention of Sections 13 and 14 of the BNSS, which pertain to the maintenance of public order and the prevention of unlawful assemblies.

Furthermore, I seek guidance on the admissibility of evidence under the Bharatiya Sakshya Adhiniyam 2023 (BSA) in relation to the identification of the perpetrators and the reconstruction of the events surrounding the incident, in light of Article 17(2) of the BSA, which deals with the admissibility of circumstantial evidence.",43|324,324|326|336|337,1,0.3333,0.5,0.25,0.3333,1,0,0,0.5,0,0.915,4.19,14.736,19.841,1,0.4,0.6667,0.75,0.1031,0.0584,263,0
9,A stranger keeps calling and sending messages threatening to burn my shop if I do not pay him money.,extortion / criminal intimidation,"Application of Section 306 of BNS (Bharatiya Nyaya Sanhita 2023) for alleged offences under Section 506 of BNS, seeking redress under Section 155 of BNSS (Bharatiya Nagarik Suraksha Sanhita 2023) for protection and investigation.

Whether the facts presented constitute a prima facie case of extortion under Section 306 of BNS, justifying the initiation of a police investigation under Section 155 of BNSS and whether the complainant is entitled to protection under the said Act.

Further, this application seeks clarification on the admissibility of electronic evidence, including voice messages and SMS, as per Article 59 of BSA (Bharatiya Sakshya Adhiniyam 2023) for purposes of prosecution under Section 306 of BNS.",155|308|5,308|309|356,1,0.1429,0.3333,0.3333,0.3333,1,0,0,0.6667,0,0.556,4.169,6.002,10.727,1,0.8,0.4545,0.75,0.0986,0.0472,163,0
10,Someone hacked my social media account and posted offensive content using my name.,cybercrime / hacking and defamation,"Complaint against Unauthorised Use of Personal Information and Defamation under the provisions of Bharatiya Nyaya Sanhita 2023 (BNS) and Bharatiya Nagarik Suraksha Sanhita 2023 (BNSS).

Pursuant to the provisions of Article 123 of Bharatiya Nyaya Sanhita 2023 (BNS), I seek your assistance in filing a complaint against an individual who has committed the offence of unauthorised use of personal information under Article 234(1)(a) of BNS, whereby my social media account was accessed without my consent, and offensive content was posted using my name.

Furthermore, under Article 219 of Bharatiya Nyaya Sanhita 2023 (BNS), I also seek to file a complaint against the said individual for the offence of defamation, as the said content has caused harm to my reputation and goodwill.

Under Section 53(4) of Bharatiya Nagarik Suraksha Sanhita 2023 (BNSS), I request that the investigation be conducted expeditiously, and the accused be brought to justice.

Pursuant to Article 17 of Bharatiya Sakshya Adhiniyam 2023 (BSA), I submit the following documents as evidence:

* Screenshots of the offending posts
* Records of the social media account activity
* Testimony of witnesses who have seen the offending posts.

I request that the authorities take immediate action in this matter, investigate the circumstances surrounding the unauthorised use of my personal information and the posting of defamatory content, and bring the accused to justice in accordance with the provisions of Bharatiya Nyaya Sanhita 2023 (BNS) and Bharatiya Nagarik Suraksha Sanhita 2023 (BNSS).",356|353|1|234|197|219,318|319|356,1,0.1667,0.1667,0.3333,0.2222,1,0,0,0.6667,0,0.878,8.328,41.751,50.958,1,0.5,0.2727,0.5,0.1216,0.0422,151,0
