case_id,cited_sections,found_sections
1,"314|248|303","1|4|5|209|248|285|303|314"
2,"1|4|209|113|303","1|4|113|209|303"
3,"232|351|199","1|4|199|209|232|351|353"
4,"207|115|122","1|38|39|42|52|115|122|248"
5,"494|19|35|523|46|352|217|3|351","1|75|78|232|267|351|352|353"
6,"243|336|339|338|344|27|247|337","113|243|247|314|335|336|339|344"
7,"314|329|19|46|303","1|5|209|303|314|329"
8,"248|229|41|46|113|51","1|41|46|51|113|229|230|248"
9,"308|206|232|225|351","1|206|207|209|225|232|308|351"
10,"44|336|232|13|356","1|4|209|232|246|336|353|356"
